url,section,headline,author,date_shown (verbatim),headline_word_count,format,names_a_company,contains_a_number
https://www.techi.com/deepmind-coding-research-california-london-cluster/,AI,Google DeepMind's shift to California tests the case for London's AI cluster,Zoha Imdad Ali,"Aug 19, 2026",12,Analysis,True,False
https://www.techi.com/amd-chip-selloff-input-costs-pricing-power/,AI,"The chip selloff is picking sides, and AMD is on the wrong one",Umair Aslam,"Aug 19, 2026",13,Analysis,True,False
https://www.techi.com/tesla-cybercab-hardware-gap-fsd-owners/,AI,Tesla's robotaxi finally works. Just not on the cars it sold you,Omer Sheikh,"Aug 19, 2026",12,Analysis,True,False
https://www.techi.com/nvidia-h200-china-shipments-below-licence-ceiling/,AI,"Nvidia's H200s are flowing to China again, at 13% of the legal limit",Dr Layloma Rashid,"Aug 19, 2026",13,News,True,True
https://www.techi.com/samsung-foundry-price-hike-losing-share/,AI,Samsung lost a third of its foundry share. It raised prices anyway,Fatimah Misbah Hussain,"Aug 19, 2026",12,News,True,False
https://www.techi.com/kings-cross-ai-talent-cluster-bottleneck/,AI,King's Cross reveals AI's next bottleneck: talent density,Zoha Imdad Ali,"Aug 10, 2026",8,News,False,False
https://www.techi.com/openai-astra-critical-cyber-capability-proof/,AI,OpenAI's Astra may be 'Critical.' The proof is still private,Zoha Imdad Ali,"Aug 9, 2026",10,Analysis,True,False
https://www.techi.com/firebird-armenia-ai-factory-300mw-roadmap/,AI,Firebird's Armenia AI factory is live. The 300 MW promise is not,Saba Javed,"Aug 9, 2026",12,Analysis,True,True
https://www.techi.com/atoms-kalanick-industrial-ai-1-7-billion/,AI,"Kalanick's Atoms Raised $1.7B to Own the Machines, Not Sell Them",Fatimah Misbah Hussain,"Jul 25, 2026",11,News,False,True
https://www.techi.com/alphabet-ai-capex-negative-free-cash-flow/,AI,Alphabet's Record Profit Hides Its First AI Cash Burn,Fatimah Misbah Hussain,"Jul 25, 2026",9,News,True,False
https://www.techi.com/flux-3-multimodal-image-video-audio-action/,AI,Black Forest Labs' FLUX 3 Folds Robotics Into One AI Model,Fatimah Misbah Hussain,"Jul 25, 2026",11,News,True,True
https://www.techi.com/inference-chips-loan-collateral-financing/,AI,Inference Chips Are Becoming Loan Collateral in a $400M Bet,Zoha Imdad Ali,"Jul 25, 2026",10,News,False,True
https://www.techi.com/specialized-inference-economy-fireworks-1-5b/,AI,Fireworks raised $1.5B on a number that reframes open weights: 95%,Fatimah Misbah Hussain,"Jul 24, 2026",11,News,True,True
